id,reply_id,reply_content,reply_date
2863949,프갤러2(211.235),평생 4800,06.12 16:20:09
2863949,ㅇㅇ,15년차 햄 연봉 1억넘는디 과세 붙어서 찡찡대심  - dc App,06.12 16:24:14
2863949,ㅇㅇ(183.101),평생 4800이런애들은 현실을 모르네,06.12 16:29:00
2863949,ㅇㅇ(175.197),도대체 생산직은 뭘준비해? 체력? 힘?,06.12 20:23:08
2863949,ㅇㅇ,자격증  - dc App,06.13 04:27:49
2863949,ㅇㅇ(175.197),어떤?,06.13 07:56:27
2863948,프갤러1(60.196),지과장님 밑으로 다 조용히 햇!,06.12 15:58:35
2863948,익명의따당이,0yes24 자주 쓰는뎅..,06.12 16:31:35
2863947,루도그담당(223.39),!!!!!!,06.12 16:15:08
2863944,프갤러1(60.196),행복은 구라에서 오는 것ㅇ ㅅㅇ;,06.12 15:45:05
2863944,개멍청한유라,하ㅋ 이씨발년ㅋ 좀하네?  - dc App,06.12 15:47:40
2863944,프갤러2(211.235),에러터지면 rg?,06.12 16:17:39
2863937,응게이(211.234),"ㅋㅋㅋㅋㅋ 개불쌍하네. 나도 짬안될때, 리펙토링 했다가 원복하라고 해서 ㅈ 같았다.이 바닥에 병신들이 한 가득이라서 어쩔수 없어.시발. 나는 40대인데도 아직 눈치 보면서 수정한다.",06.12 15:12:47
2863937,글쓴 프갤러(60.196),대충 말 섞어보니까 인터페이스까지만 알고 디자인 패턴은 몰라서 본인이 모르는거 하지 말라고 하는 듯 ㅇ ㅅㅇ;...,06.12 15:20:33
2863937,루도그담당(223.39),좆소에선 패턴은 사치인거 몰랐노?,06.12 15:20:17
2863937,글쓴 프갤러(60.196),쉬운 프로젝트에서 써봐야 나중에 큰 프로젝트에도 쓸 수 있을거 같아서 패턴 처음 써보는 프로젝트였는데 바로 컷.... ㅇ ㅅㅇ;,06.12 15:21:41
2863937,프갤러2(211.235),좆소니까 씨바 하고싶은거 다하고 연습하는거지,06.12 16:19:11
2863937,프갤러1(121.145),꼭 쓰잘때기없는 디자인패턴 써서 깝치더라가독성 좋을떈 if else 문이 좋다 뭔 이상한 교과서 들고와서 유지보수 더 헬로 만드는 애가 젤 혐오임 특히 신입ㅋㅋㅋ,06.12 16:16:31
2863937,프갤러2(211.235),좆소니까 씨바 하고싶은거 다하고 연습하는거지 대기업이면 하겠냐,06.12 16:19:21
2863937,프갤러2(211.235),C#은 C가 아닌데요 했어야지,06.12 16:18:40
2863937,부드러운곰탱이,나도 초반에 팩토리로 만들었는데 switch 써놓음,06.12 22:02:31
2863936,루도그담당(223.39),래퍼는 랩하는 사람이지오,06.12 14:50:05
2863936,넥도리아(175.196),레퍼도리 애기한거 아닌가,06.12 15:47:38
2863936,ㅇㅇ,네이버 블로그,06.12 14:53:06
2863936,글쓴 프갤러(106.101),고맙다,06.12 15:15:53
2863936,글쓴 프갤러(106.101),아니 고맙습니다.,06.12 15:16:11
2863936,넥도리아(175.196),"다음 티스토리,nate 블로그",06.12 15:47:52
2863934,글쓴 프갤러(106.101),검색해보고 깨달았다,06.12 14:35:08
2863934,프갤러1(211.235),ㄷㄷ 1분만에 깨달았노,06.12 14:37:57
2863934,프갤러1(211.235),어차치 구글링하지만 프갤에 물어봄으로써 프로그래밍 갤러리에 활기가 돕니다. 이것이 프갤경제학,06.12 14:38:23
2863933,프갤러1(211.235),배부르다고? 이것까지만 더먹자 이것도 더먹자,06.12 14:49:42
2863932,프갤러1(106.101),ㄹㅇㅋㄴ,06.12 14:32:26
2863932,프갤러2(211.235),지금이라도 해라,06.12 14:37:44
2863930,ㅆㅇㅆ(124.216),이거 씨발 존나 동의합니다,06.12 14:27:44
2863930,프갤러1(106.101),학습의 속도는 빨라지겠네,06.12 14:28:12
2863930,글쓴 프갤러(211.235),맞음 딱 그정도 근데 양날검인게 ai 로 뽑아낸거 보고 공부하면서 자기걸로 만들어야하는데 그냥 딸깍딸깍하고 아무생각 안하는 사람이 더 많음 ㅇㅅㅇ,06.12 14:30:02
2863930,프갤러1(106.101),무지성도 간혹 도움이 될때도 있긴 하더라 ㅋㅋㅋ근데 남용하는건 좋은게 아니지,06.12 14:31:38
2863930,ㅇㅇ,"나도 아직까진 럭키 구글링이긴한데, 이걸 나름대로 방법을 발견해서 쓰면 좋지 않을지 생각은 하는데 지능이 딸린다 이기",06.12 14:57:54
2863930,프갤러2(121.145),ㅋㅋ 그건 지금 시점이고 2~3년 뒤엔 다 대체다 왜케 학습능력이 떨어질까?,06.12 16:13:19
2863930,글쓴 프갤러(211.235),그 말 2~3년 전에도 했음 ㅋㅋ,06.12 16:15:24
2863930,ㅇㅇ(175.197),맞는데 저거로 2명중 1명은 짤림,06.12 20:25:36
